class	carn	carn	carn	carn	carn	carn	carn	carn	carn	herb	herb	herb	herb	herb	herb	herb	herb	herb	herb	omni	omni	omni	omni	omni	omni	omni	omni	omni	omni
subclass	carn_NA	carn_NA	carn_NA	carn_NA	carn_NA	carn_NA	carn_NA	carn_NA	carn_NA	herb_NA	herb_NA	herb_NA	herb_NA	herb_NA	herb_NA	herb_NA	herb_NA	herb_NA	herb_NA	omni_NA	omni_NA	omni_NA	omni_NA	omni_NA	omni_NA	omni_NA	omni_NA	omni_NA	omni_NA
subject	SRR11927435	SRR11927436	SRR11927437	SRR11927438	SRR11927439	SRR11927440	SRR11927441	SRR11927452	SRR11927463	SRR11927453	SRR11927454	SRR11927455	SRR11927456	SRR11927457	SRR11927458	SRR11927459	SRR11927460	SRR11927461	SRR11927462	SRR11927442	SRR11927443	SRR11927444	SRR11927445	SRR11927446	SRR11927447	SRR11927448	SRR11927449	SRR11927450	SRR11927451
GH16	0.0	121.0	15.0	68.0	48.0	167.0	165.0	2.0	116.0	31.0	36.0	11.0	3.0	380.0	0.0	3.0	105.0	56.0	90.0	724.0	99.0	49.0	65.0	31.0	91.0	75.0	350.0	618.0	98.0
GH2	7949.0	3300.0	4794.0	7188.0	4877.0	4303.0	14848.0	1763.0	3923.0	3419.0	4452.0	1075.0	7366.0	3442.0	11576.0	1030.0	2060.0	5554.0	8866.0	4141.0	1508.0	907.0	2272.0	7352.0	834.0	3947.0	3170.0	8049.0	1231.0
GH20	3404.0	1997.0	1512.0	5208.0	434.0	2487.0	3424.0	456.0	790.0	391.0	21.0	67.0	544.0	277.0	1128.0	99.0	0.0	0.0	0.0	1243.0	497.0	97.0	100.0	0.0	61.0	415.0	1784.0	4315.0	855.0
GH27	439.0	159.0	163.0	13.0	493.0	85.0	815.0	20.0	309.0	159.0	270.0	139.0	453.0	10.0	55.0	151.0	389.0	357.0	721.0	326.0	197.0	163.0	179.0	616.0	75.0	115.0	137.0	697.0	1.0
GH29	1472.0	975.0	958.0	2420.0	390.0	1286.0	4391.0	531.0	895.0	1050.0	184.0	24.0	1271.0	1683.0	4622.0	173.0	28.0	131.0	101.0	1209.0	429.0	100.0	351.0	8.0	120.0	592.0	1831.0	2837.0	641.0
GH3	1967.0	670.0	768.0	573.0	897.0	726.0	415.0	844.0	1182.0	749.0	1456.0	679.0	1963.0	3432.0	2033.0	366.0	435.0	1625.0	1963.0	1958.0	417.0	201.0	1862.0	1465.0	426.0	1448.0	1614.0	2432.0	103.0
GH31	4033.0	1402.0	1209.0	2120.0	2347.0	1183.0	4053.0	714.0	1672.0	2129.0	6880.0	502.0	6815.0	6009.0	7051.0	625.0	1576.0	4090.0	14416.0	2109.0	572.0	420.0	1031.0	13226.0	511.0	1282.0	1498.0	3489.0	483.0
GH33	405.0	535.0	224.0	830.0	15.0	282.0	301.0	21.0	58.0	376.0	1041.0	42.0	873.0	110.0	161.0	60.0	30.0	461.0	2098.0	199.0	69.0	0.0	47.0	1826.0	1.0	32.0	236.0	545.0	128.0
GH35	760.0	320.0	55.0	45.0	790.0	112.0	1363.0	36.0	266.0	249.0	87.0	0.0	569.0	1385.0	601.0	37.0	128.0	0.0	162.0	664.0	171.0	231.0	267.0	274.0	88.0	841.0	708.0	1112.0	190.0
GH36	2872.0	756.0	1596.0	1459.0	695.0	682.0	2568.0	449.0	1684.0	720.0	2924.0	605.0	4400.0	5339.0	2634.0	861.0	622.0	1696.0	5258.0	709.0	329.0	282.0	1469.0	4878.0	558.0	4207.0	660.0	2074.0	371.0
GH42	1037.0	812.0	917.0	142.0	567.0	494.0	379.0	213.0	583.0	371.0	893.0	743.0	2139.0	1970.0	4149.0	309.0	50.0	960.0	1582.0	98.0	27.0	136.0	670.0	1392.0	353.0	1524.0	681.0	56.0	84.0
GH84	636.0	232.0	247.0	984.0	0.0	431.0	371.0	2.0	170.0	0.0	161.0	0.0	0.0	64.0	0.0	3.0	17.0	1.0	0.0	310.0	88.0	0.0	5.0	175.0	0.0	73.0	395.0	857.0	228.0
GH89	1028.0	188.0	232.0	906.0	0.0	552.0	822.0	2.0	222.0	272.0	9.0	0.0	173.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.0	0.0	30.0	0.0	0.0	34.0	371.0	849.0	201.0
GH95	1377.0	522.0	454.0	1369.0	357.0	1125.0	1996.0	51.0	1084.0	1186.0	729.0	299.0	549.0	615.0	2910.0	181.0	479.0	1618.0	1410.0	372.0	217.0	47.0	370.0	1160.0	96.0	181.0	538.0	1266.0	219.0
GH98	228.0	0.0	8.0	8.0	0.0	0.0	0.0	1.0	357.0	0.0	0.0	2.0	253.0	0.0	0.0	37.0	391.0	0.0	0.0	0.0	141.0	0.0	1.0	0.0	54.0	0.0	0.0	483.0	0.0
WP_003536474	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	96.0	0.0	0.0	0.0	0.0	0.0
WP_004842794	0.0	0.0	0.0	0.0	3.0	15.0	140.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0
WP_004843532	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	238.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WP_005602399	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	2.0	1.0	0.0	0.0	0.0	53.0	8.0	0.0
WP_005640895	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	291.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WP_005682123	0.0	0.0	0.0	0.0	0.0	724.0	0.0	0.0	60.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WP_005794991	0.0	0.0	0.0	0.0	0.0	128.0	0.0	0.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
